unidade_id,emergencias_atendidas
"U1","E30;E4",0.253266
"U2","E29;E44;E14;E6",0.253266
"U3","E19;E5",0.253266
"U4","E25;E43",0.253266
"U5","E21;E8",0.253266
"U6","E13;E49;E37;E23;E48",0.253266
"U7","E50;E3;E9",0.253266
"U8","E11;E20",0.253266
"U9","E10;E32;E42",0.253266
"U10","",0.253266
"U11","E39",0.253266
"U12","",0.253266
"U13","E12",0.253266
"U14","E41;E34;E46",0.253266
"U15","E31;E40;E26;E33",0.253266
"U16","E22;E28",0.253266
"U17","E47;E27;E38;E45;E24",0.253266
"U18","E16;E2;E18;E35;E15;E17",0.253266
"U19","E1",0.253266
"U20","E7;E36",0.253266
