unidade_id,emergencias_atendidas
"U1","E29;E27",5540.304074
"U2","E39",5540.304074
"U3","E35;E32",5540.304074
"U4","E44;E17;E15;E4",5540.304074
"U5","E3;E47;E26",5540.304074
"U6","E12",5540.304074
"U7","E50;E41",5540.304074
"U8","",5540.304074
"U9","E6;E5;E14",5540.304074
"U10","E16",5540.304074
"U11","",5540.304074
"U12","E10",5540.304074
"U13","E21;E46;E28",5540.304074
"U14","E25;E48;E2;E43;E18;E23;E49",5540.304074
"U15","E38;E19;E42;E45;E30;E20",5540.304074
"U16","E31;E7;E9;E36;E40;E33",5540.304074
"U17","E34;E1;E22",5540.304074
"U18","E37;E13;E8;E24",5540.304074
"U19","E11",5540.304074
"U20","",5540.304074
