unidade_id,emergencias_atendidas
"U1","E29;E27;E6;E5;E14",0.259436
"U2","",0.259436
"U3","",0.259436
"U4","E11;E37;E13;E8;E4;E15;E23;E18;E43;E2;E21;E46;E28",0.259436
"U5","",0.259436
"U6","E12;E38",0.259436
"U7","E50;E41;E34;E22;E1",0.259436
"U8","",0.259436
"U9","E39;E36;E40;E9;E7;E33",0.259436
"U10","E16",0.259436
"U11","",0.259436
"U12","E10",0.259436
"U13","E48;E25;E49",0.259436
"U14","",0.259436
"U15","",0.259436
"U16","E3;E47;E31;E26",0.259436
"U17","",0.259436
"U18","E35;E32;E44;E17;E45;E42;E19;E30;E20;E24",0.259436
"U19","",0.259436
"U20","",0.259436
