unidade_id,emergencias_atendidas
"U1","E29;E27;E6;E5;E14",43.551400
"U2","",43.551400
"U3","",43.551400
"U4","E37;E13;E8;E4;E15;E23;E18;E43;E2;E21;E46;E28",43.551400
"U5","",43.551400
"U6","E12;E38",43.551400
"U7","E50;E41;E34;E22;E1",43.551400
"U8","",43.551400
"U9","E39;E36;E40;E9;E7;E33",43.551400
"U10","E16",43.551400
"U11","",43.551400
"U12","E10",43.551400
"U13","E48;E25;E49",43.551400
"U14","",43.551400
"U15","",43.551400
"U16","E3;E47;E31;E26",43.551400
"U17","",43.551400
"U18","E35;E32;E44;E17;E45;E42;E19;E30;E20;E24",43.551400
"U19","E11",43.551400
"U20","",43.551400
