unidade_id,emergencias_atendidas
"U1","E29;E19;E44",4060.074428
"U2","E27",4060.074428
"U3","E35;E32;E30;E20;E17;E45;E42;E14",4060.074428
"U4","E11",4060.074428
"U5","",4060.074428
"U6","E12;E38",4060.074428
"U7","E50;E41",4060.074428
"U8","",4060.074428
"U9","E39",4060.074428
"U10","E16",4060.074428
"U11","E3",4060.074428
"U12","E10",4060.074428
"U13","E48;E25;E18;E23;E49;E43;E2",4060.074428
"U14","",4060.074428
"U15","E9;E7;E36;E40;E33;E6;E5",4060.074428
"U16","E31;E47;E26",4060.074428
"U17","E22;E1;E34;E28",4060.074428
"U18","E21;E46",4060.074428
"U19","",4060.074428
"U20","E37;E4;E15;E8;E13;E24",4060.074428
