unidade_id,emergencias_atendidas
"U1","E29;E27;E6;E5;E14",3452.319059
"U2","",3452.319059
"U3","",3452.319059
"U4","E37;E13;E8;E4;E15;E23;E18;E43;E2;E21;E46;E28",3452.319059
"U5","",3452.319059
"U6","E12;E38",3452.319059
"U7","E50;E41;E34;E22;E1",3452.319059
"U8","",3452.319059
"U9","E39;E36;E40;E9;E7;E33",3452.319059
"U10","E16",3452.319059
"U11","",3452.319059
"U12","E10",3452.319059
"U13","",3452.319059
"U14","",3452.319059
"U15","",3452.319059
"U16","E3;E47;E31;E26",3452.319059
"U17","",3452.319059
"U18","E35;E32;E44;E17;E45;E42;E19;E30;E20;E24",3452.319059
"U19","E11;E25;E48;E49",3452.319059
"U20","",3452.319059
