unidade_id,emergencias_atendidas
"U1","E29;E5;E6;E27",2838.833576
"U2","E39",2838.833576
"U3","",2838.833576
"U4","E37;E13;E24;E30;E20",2838.833576
"U5","",2838.833576
"U6","",2838.833576
"U7","E50;E41",2838.833576
"U8","",2838.833576
"U9","E47;E31;E26",2838.833576
"U10","E32;E44;E19",2838.833576
"U11","E3",2838.833576
"U12","E40;E9;E7;E36;E33",2838.833576
"U13","E11",2838.833576
"U14","E16",2838.833576
"U15","E10",2838.833576
"U16","E22;E1;E34;E28",2838.833576
"U17","E43;E49;E23;E18;E2;E21;E46",2838.833576
"U18","E35;E17;E45;E42;E14",2838.833576
"U19","E25;E48;E15;E4;E8",2838.833576
"U20","E12;E38",2838.833576
