unidade_id,emergencias_atendidas
"U1","E38;E19;E45",0.023689
"U2","E39;E7;E5",0.023689
"U3","E11;E25;E23",0.023689
"U4","E37;E13;E15",0.023689
"U5","E16;E8;E4",0.023689
"U6","E12;E29;E14",0.023689
"U7","E50;E1;E49",0.023689
"U8","E3;E26;E42",0.023689
"U9","E10;E44;E30",0.023689
"U10","E41;E46;E20",0.023689
"U11","E47;E9",0.023689
"U12","E31;E40",0.023689
"U13","E48;E18",0.023689
"U14","E21;E2",0.023689
"U15","E27;E6",0.023689
"U16","E22;E28",0.023689
"U17","E34;E43",0.023689
"U18","E35;E17",0.023689
"U19","E32;E24",0.023689
"U20","E36;E33",0.023689
